Scope	Column	Type	Example	Description
design	condition	text or numeric	A	Required. Unique identifier for the condition (e.g., "A" / "B" or 1 / 2). The app creates the same number of conditions as unique values and randomly assigns participants to them.
design	sequence	numeric	1	Optional. Defines the order in which posts are displayed (ascending). If missing, random integers are assigned per participant, leading to between-subject randomization.
design	commented_post	boolean	0	Optional (Legacy for Twitter only). If 1, this post is displayed at the top of the feed and all other posts appear as comments beneath it. Defaults to 0 if missing.
post	doc_id	numeric	1	Required. Unique numeric identifier for each post. Must be an integer (e.g., 1, 2, 3).
post	datetime	text	01.03.22 06:00	Required. The time a post was published, formatted as dd.mm.yyyy hh:mm:ss.
post	text	text	Just experienced the most incredible sunrise... #Yosemite #NatureLovers	Required. Content of the post. Can contain hashtags, emojis, and URLs.
post	media	text	https://images.unsplash.com/photo-1472396961693...	Required. Direct (raw) URL to an image file (.jpg, .png, .gif, or .webp). Posts without a media URL are not displayed in Instagram and Stories feeds.
post	alt_text	text	Sunset illuminates Half Dome...	Optional. Accessibility description of the media element.
post	likes	numeric	15	Required. Number of likes the post has received. Defaults to 0 if missing.
post	reposts	numeric	6	Required. Number of reposts the post has received. Defaults to 0 if missing.
post	replies	numeric	2	Required. Number of replies the post has received. Defaults to 0 if missing.
post	sponsored	boolean	0	Optional. If 1, the post is displayed as a sponsored/promoted post. Defaults to 0 if missing.
post	target	text	https://example.com	Conditionally required. URL of the landing page for sponsored posts. Must be provided if sponsored = 1.
user	username	text	NatureFanatic	Required. The display name of the post's author.
user	handle	text	NatureFanatic88	Required. The handle of the post's author, automatically prefixed by an @ symbol.
user	user_description	text	Lover of all things nature...	Optional. A brief bio of the user, shown in a tooltip when hovering over the profile picture.
user	user_image	text	https://images.unsplash.com/photo-1522506209496...	Required. Direct (raw) URL to the user's profile picture. For Twitter, Instagram, and LinkedIn a colored avatar with initials is used as fallback, but providing an image is strongly recommended.
user	user_followers	numeric	4523	Required. Number of followers the user has.
